lỗi,Key,KeyID,en,vn
menu,orders,menu.orders,,Danh sách đơn
menu,operate,menu.operate,,Vận hành
menu,customer,menu.customer,,Khách hàng
menu,complaint,menu.complaint,,Khiếu nại
menu,finance,menu.finance,,Tài chính
menu,system,menu.system,,Hệ thống
menu,packages,menu.packages,,Danh sách kiện
menu,delivery,menu.delivery,,Danh sách YCG
message,network_error,message.network_error,Please check network connection and try again,Vui lòng kiểm tra lại kết nối mạng và thử lại
orders,orders_empty,orders.orders_empty,,Chưa có dữ liệu
orders,search_order_no_data,orders.search_order_no_data,,Không tìm thấy kết quả phù hợp
orders,title_list,orders.title_list,,Danh sách đơn hàng
orders,title_page,orders.title_page,,Quản lý đơn hàng
orders,export_csv,orders.export_csv,,Xuất CSV
orders,quantity_check,orders.quantity_check,,Số lượng đặt / mua / nhận
orders,merchant,orders.merchant,Seller,Người bán
orders,purchasing_staff,orders.purchasing_staff,,Nhân viên mua hàng
orders,amount,orders.amount,,Giá bán
orders,merchant,orders.merchant,,Người bán
orders,created_at,orders.created_at,,Thời gian tạo đơn
orders,net_weight,orders.net_weight,,Cân nặng tịnh
orders,fee_weight,orders.fee_weight,,Cân nặng tính phí VCQT
orders,purchasing_account,orders.purchasing_account,,Tài khoản mua hàng
order,filter_by,order.filter_by,,Tìm theo
order,filter_by_order_id,order.filter_by_order_id,,Mã đơn hàng/ID đơn hàng
order,filter_origin_order_code,order.filter_origin_order_code,,Mã hóa đơn gốc
order,filter_buyer,order.filter_buyer,,Tài khoản mua hàng
order,filter_order_logistic,order.filter_order_logistic,,Mã vận đơn
order,filter_customer,order.filter_customer,,Nhập thông tin khách hàng:
order,filter_by_time,order.filter_by_time,,Thời gian:
order,btn_filter,order.btn_filter,,Tìm kiếm
order,service,order.service,Services,Dịch vụ:
order_filter,status,order_filter.status,,Trạng thái đơn
order_filter,actions,order_filter.actions,,Hành động
order_filter,refresh,order_filter.refresh,,Làm mới bộ lọc 
receipt_address,success,receipt_address.success,,Sửa địa chỉ nhận thành công
order_info,order_detail,order_info.order_detail,,Chi tiết đơn hàng
order_info,price,order_info.price,Price,Giá bán
order_info,order_list,order_info.order_list,Orders List,Danh sách đơn hàng
order_info,edit,order_info.edit,Edit,Sửa
order_info,total_goods_value,order_info.total_goods_value,Total value,Tổng tiền hàng
order_info,merchant_contacts,order_info.merchant_contacts,Merchant contacts,Liên hệ người bán
order_info,customer_code,order_info.customer_code,Customer code,Mã khách hàng
order_info,purchasing_account,order_info.purchasing_account,Purchasing account,Tài khoản mua hàng
order_info,net_weight,order_info.net_weight,Net weight,Cân nặng tịnh
order_info,destination_warehouse,order_info.destination_warehouse,Destination warehouse,Kho phân phối
order_info,receiving_warehouse,order_info.receiving_warehouse,Receiving warehouse,Kho nhận
order_info,purchasing_staff,order_info.purchasing_staff,Purchasing staff,Nhân viên mua hàng
order_info,convert_weight,order_info.convert_weight,Convert weight,Cân nặng quy đổi
order_info,emd_mount,order_info.emd_mount,Deposit Rate,Tỉ lệ đặt cọc
order_info,cost_weight,order_info.cost_weight,Cost weight,Cân tính phí
order_info,origin_bill,order_info.origin_bill,Origin bill,Hoá đơn gốc
order_info,expand_content,order_info.expand_content,Expand content,Mở rộng thông tin
order_info,shrink_content,order_info.shrink_content,Shrink content,Thu gọn thông tin
order_info,service,order_info.service,Services,Dịch vụ
order_info,address,order_info.address,Address,Địa chỉ nhận hàng
order_info,customer_address_note,order_info.customer_address_note,Note,Ghi chú
order_info,member,order_info.member,Member,Thành viên
order_info,aliwang,order_info.aliwang,Aliwangwang account,Tài khoản aliwangwang
order_info,merchant,order_info.merchant,Salesman,Người bán
order_info,edit_status_success,order_info.edit_status_success,Successful edit status,Sửa trạng thái đơn hàng thành công
order_info,edit_status_failed,order_info.edit_status_failed,Failed edit status,Sửa trạng thái đơn hàng thất bại
order_info,add_original_receipt_success,order_info.add_original_receipt_success,,Thêm mã hóa đơn gốc thành công
order_original_receipt,add_failed,order_original_receipt.add_failed,,Thêm mã hóa đơn gốc thất bại
order_info,delete_original_receipt_success,order_info.delete_original_receipt_success,,Xóa mã hóa đơn gốc thành công
